City,Rate,County
Acampo,0.07750,San Joaquin
Acton,0.09500,Los Angeles
Adelaida,0.07250,San Luis Obispo
Adelanto*,0.07750,San Bernardino
Adin,0.07250,Modoc
Agoura,0.09500,Los Angeles
Agoura Hills*,0.09500,Los Angeles
Agua Caliente,0.08500,Sonoma
Agua Caliente Springs,0.07750,San Diego
Agua Dulce,0.09500,Los Angeles
Aguanga,0.07750,Riverside
Ahwahnee,0.07750,Madera
Al Tahoe,0.07250,El Dorado
Alameda*,0.10750,Alameda
Alamo,0.08750,Contra Costa
Albany*,0.10750,Alameda
Alberhill (Lake Elsinore*),0.07750,Riverside
Albion,0.07875,Mendocino
Alderpoint,0.07750,Humboldt
Alhambra*,0.10250,Los Angeles
Aliso Viejo*,0.07750,Orange
Alleghany,0.07250,Sierra
Almaden Valley,0.09125,Santa Clara
Almanor,0.07250,Plumas
Almondale,0.09500,Los Angeles
Alondra,0.09500,Los Angeles
Alpaugh,0.07750,Tulare
Alpine,0.07750,San Diego
Alta,0.07250,Placer
Alta Loma (Rancho Cucamonga*),0.07750,San Bernardino
Altadena,0.09500,Los Angeles
Altaville,0.07250,Calaveras
Alton,0.07750,Humboldt
Alturas*,0.07250,Modoc
Alviso (San Jose*),0.09375,Santa Clara
Amador City*,0.07750,Amador
Amargosa (Death Valley),0.07750,Inyo
Amboy,0.07750,San Bernardino
American Canyon*,0.07750,Napa
Anaheim*,0.07750,Orange
Anderson*,0.07750,Shasta
Angels Camp*,0.07750,Calaveras
Angelus Oaks,0.07750,San Bernardino
Angwin,0.07750,Napa
Annapolis,0.08500,Sonoma
Antelope,0.07750,Sacramento
Antelope Acres,0.09500,Los Angeles
Antioch*,0.09750,Contra Costa
Anza,0.07750,Riverside
Apple Valley*,0.07750,San Bernardino
Applegate,0.07250,Placer
Aptos,0.09000,Santa Cruz
Arbuckle,0.07250,Colusa
Arcadia*,0.10250,Los Angeles
Arcata*,0.08500,Humboldt
Argus,0.07750,San Bernardino
Arleta (Los Angeles*),0.09500,Los Angeles
Arlington (Riverside*),0.08750,Riverside
Armona,0.07250,Kings
Army Terminal,0.10250,Alameda
Arnold,0.07250,Calaveras
Aromas,0.07750,Monterey
Aromas,0.08250,San Benito
Arrowbear Lake,0.07750,San Bernardino
Arrowhead Highlands,0.07750,San Bernardino
Arroyo Grande*,0.07750,San Luis Obispo
Artesia*,0.09500,Los Angeles
Artois,0.07250,Glenn
Arvin*,0.08250,Kern
Ashland,0.10250,Alameda
Asti,0.08500,Sonoma
Atascadero*,0.08750,San Luis Obispo
Athens,0.09500,Los Angeles
Atherton*,0.09375,San Mateo
Atwater*,0.08250,Merced
Atwood,0.07750,Orange
Auberry,0.07975,Fresno
Auburn*,0.07250,Placer
Avalon*,0.10000,Los Angeles
Avenal*,0.07250,Kings
Avery,0.07250,Calaveras
Avila Beach,0.07250,San Luis Obispo
Azusa*,0.10250,Los Angeles
Badger,0.07750,Tulare
Bailey,0.09500,Los Angeles
Baker,0.07750,San Bernardino
Bakersfield*,0.08250,Kern
Balboa (Newport Beach*),0.07750,Orange
Balboa Island (Newport Beach*),0.07750,Orange
Balboa Park (San Diego*),0.07750,San Diego
Baldwin Park*,0.09500,Los Angeles
Ballard,0.07750,Santa Barbara
Ballico,0.07750,Merced
Ballroad,0.07750,Orange
Bangor,0.07250,Butte
Banning*,0.07750,Riverside
Banta,0.07750,San Joaquin
Bard,0.07750,Imperial
Barrington,0.09500,Los Angeles
Barstow*,0.08750,San Bernardino
Bartlett,0.07750,Inyo
Barton,0.07975,Fresno
Base Line,0.07750,San Bernardino
Bass Lake,0.07750,Madera
Bassett,0.09500,Los Angeles
Baxter,0.07250,Placer
Bay Point (formally West Pittsburg),0.08750,Contra Costa
Bayside,0.07750,Humboldt
Baywood Park,0.07250,San Luis Obispo
Beale A.F.B.,0.08250,Yuba
Bear River Lake,0.07750,Amador
Bear Valley,0.07250,Alpine
Bear Valley,0.07750,Mariposa
Beaumont*,0.07750,Riverside
Beckwourth,0.07250,Plumas
Bel Air Estates (Los Angeles*),0.09500,Los Angeles
Belden,0.07250,Plumas
Bell Gardens*,0.10250,Los Angeles
Bell*,0.09500,Los Angeles
Bella Vista,0.07250,Shasta
Bellflower*,0.10250,Los Angeles
Belmont*,0.09875,San Mateo
Belvedere*,0.08250,Marin
Ben Lomond,0.09000,Santa Cruz
Benicia*,0.08375,Solano
Benton,0.07250,Mono
Berkeley*,0.10250,Alameda
Bermuda Dunes,0.07750,Riverside
Berry Creek,0.07250,Butte
Bethel Island,0.08750,Contra Costa
Betteravia,0.07750,Santa Barbara
Beverly Hills*,0.09500,Los Angeles
Bieber,0.07250,Lassen
Big Bar,0.07250,Trinity
Big Basin,0.09000,Santa Cruz
Big Bear City,0.07750,San Bernardino
Big Bear Lake*,0.07750,San Bernardino
