City,Rate,County
Acampo,0.0775,San Joaquin
Acton,0.095,Los Angeles
Adelaida,0.0725,San Luis Obispo
Adelanto,0.0775,San Bernardino
Adin,0.0725,Modoc
Agoura,0.095,Los Angeles
Agoura Hills,0.095,Los Angeles
Agua Caliente,0.0825,Sonoma
Agua Caliente Springs,0.0775,San Diego
Agua Dulce,0.095,Los Angeles
Aguanga,0.0775,Riverside
Ahwahnee,0.0775,Madera
Al Tahoe,0.0725,El Dorado
Alameda,0.0975,Alameda
Alamo,0.0825,Contra Costa
Albany,0.0975,Alameda
Alberhill (Lake Elsinore),0.0775,Riverside
Albion,0.07875,Mendocino
Alderpoint,0.0775,Humboldt
Alhambra,0.095,Los Angeles
Aliso Viejo,0.0775,Orange
Alleghany,0.0725,Sierra
Almaden Valley,0.09,Santa Clara
Almanor,0.0725,Plumas
Almondale,0.095,Los Angeles
Alondra,0.095,Los Angeles
Alpaugh,0.0775,Tulare
Alpine,0.0775,San Diego
Alta,0.0725,Placer
Alta Loma (Rancho Cucamonga),0.0775,San Bernardino
Altadena,0.095,Los Angeles
Altaville,0.0725,Calaveras
Alton,0.0775,Humboldt
Alturas,0.0725,Modoc
Alviso (San Jose),0.0925,Santa Clara
Amador City,0.0775,Amador
Amargosa (Death Valley),0.0775,Inyo
Amboy,0.0775,San Bernardino
American Canyon,0.0775,Napa
Anaheim,0.0775,Orange
Anderson,0.0775,Shasta
Angels Camp,0.0775,Calaveras
Angelus Oaks,0.0775,San Bernardino
Angwin,0.0775,Napa
Annapolis,0.0825,Sonoma
Antelope,0.0775,Sacramento
Antelope Acres,0.095,Los Angeles
Antioch,0.0925,Contra Costa
Anza,0.0775,Riverside
Apple Valley,0.0775,San Bernardino
Applegate,0.0725,Placer
Aptos,0.09,Santa Cruz
Arbuckle,0.0725,Colusa
Arcadia,0.1025,Los Angeles
Arcata,0.085,Humboldt
Argus,0.0775,San Bernardino
Arleta (Los Angeles),0.095,Los Angeles
Arlington (Riverside),0.0875,Riverside
Armona,0.0725,Kings
Army Terminal,0.0925,Alameda
Arnold,0.0725,Calaveras
Aromas,0.0775,Monterey
Arrowbear Lake,0.0775,San Bernardino
Arrowhead Highlands,0.0775,San Bernardino
Arroyo Grande,0.0775,San Luis Obispo
Artesia,0.095,Los Angeles
Artois,0.0725,Glenn
Arvin,0.0825,Kern
Ashland,0.0925,Alameda
Asti,0.0825,Sonoma
Atascadero,0.0775,San Luis Obispo
Athens,0.095,Los Angeles
Atherton,0.0925,San Mateo
Atwater,0.0825,Merced
Atwood,0.0775,Orange
Auberry,0.07975,Fresno
Auburn,0.0725,Placer
Avalon,0.1,Los Angeles
Avenal,0.0725,Kings
Avery,0.0725,Calaveras
Avila Beach,0.0725,San Luis Obispo
Azusa,0.095,Los Angeles
Badger,0.0775,Tulare
Bailey,0.095,Los Angeles
Baker,0.0775,San Bernardino
Bakersfield,0.0825,Kern
Balboa (Newport Beach),0.0775,Orange
Balboa Island (Newport Beach),0.0775,Orange
Balboa Park (San Diego),0.0775,San Diego
Baldwin Park,0.095,Los Angeles
Ballard,0.0775,Santa Barbara
Ballico,0.0775,Merced
Ballroad,0.0775,Orange
Bangor,0.0725,Butte
Banning,0.0775,Riverside
Banta,0.0775,San Joaquin
Bard,0.0775,Imperial
Barrington,0.095,Los Angeles
Barstow,0.0875,San Bernardino
Bartlett,0.0775,Inyo
Barton,0.07975,Fresno
Base Line,0.0775,San Bernardino
Bass Lake,0.0775,Madera
Bassett,0.095,Los Angeles
Baxter,0.0725,Placer
Bay Point (formally West Pittsburg),0.0825,Contra Costa
Bayside,0.0775,Humboldt
Baywood Park,0.0725,San Luis Obispo
Beale A.F.B.,0.0825,Yuba
Bear River Lake,0.0775,Amador
Bear Valley,0.0725,Alpine
Bear Valley,0.0775,Mariposa
Beaumont,0.0775,Riverside
Beckwourth,0.0725,Plumas
Bel Air Estates (Los Angeles),0.095,Los Angeles
Belden,0.0725,Plumas
Bell Gardens,0.095,Los Angeles
Bell,0.095,Los Angeles
Bella Vista,0.0725,Shasta
Bellflower,0.095,Los Angeles
Belmont,0.0975,San Mateo
Belvedere,0.0825,Marin
Ben Lomond,0.09,Santa Cruz
Benicia,0.08375,Solano
Benton,0.0725,Mono
Berkeley,0.0925,Alameda
Bermuda Dunes,0.0775,Riverside
Berry Creek,0.0725,Butte
Bethel Island,0.0825,Contra Costa
Betteravia,0.0775,Santa Barbara
Beverly Hills,0.095,Los Angeles
Bieber,0.0725,Lassen
Big Bar,0.0725,Trinity
Big Basin,0.09,Santa Cruz
Big Bear City,0.0775,San Bernardino
Big Bear Lake,0.0775,San Bernardino
Big Bend,0.0725,Shasta
Big Creek,0.07975,Fresno
Big Oak Flat,0.0725,Tuolumne
Big Pine,0.0775,Inyo
Big River,0.0775,San Bernardino
Big Sur,0.0775,Monterey
Biggs,0.0725,Butte
Bijou,0.0725,El Dorado
Biola,0.07975,Fresno
Biola College (La Mirada),0.095,Los Angeles
Birds Landing,0.07375,Solano
Bishop,0.0775,Inyo
Black Hawk,0.0825,Contra Costa
Blairsden,0.0725,Plumas
Blocksburg,0.0775,Humboldt
Bloomington,0.0775,San Bernardino
Blossom Hill,0.09,Santa Clara
Blossom Valley,0.09,Santa Clara
Blue Jay,0.0775,San Bernardino
Blue Lake,0.0775,Humboldt
Blythe,0.0775,Riverside
Bodega,0.0825,Sonoma
Bodega Bay,0.0825,Sonoma
Bodfish,0.0725,Kern
Bolinas,0.0825,Marin
Bolsa,0.0775,Orange
Bombay Beach,0.0775,Imperial
Bonita,0.0775,San Diego
Bonny Doon,0.09,Santa Cruz
Bonsall,0.0775,San Diego
Boonville,0.07875,Mendocino
Boron,0.0725,Kern
Borrego Springs,0.0775,San Diego
Bostonia,0.0775,San Diego
Boulder Creek,0.09,Santa Cruz
Boulevard,0.0775,San Diego
Bouquet Canyon (Santa Clarita),0.095,Los Angeles
Bowman,0.0725,Placer
Boyes Hot Springs,0.0825,Sonoma
Bradbury,0.095,Los Angeles
Bradford,0.0925,Alameda
Bradley,0.0775,Monterey
Branscomb,0.07875,Mendocino
Brawley,0.0775,Imperial
Brea,0.0775,Orange
Brents Junction,0.095,Los Angeles
Brentwood (Los Angeles),0.095,Los Angeles
Brentwood,0.0825,Contra Costa
Briceland,0.0775,Humboldt
Bridgeport,0.0725,Mono
Bridgeport,0.0775,Mariposa
Bridgeville,0.0775,Humboldt
Brisbane,0.0925,San Mateo
Broderick (West Sacramento),0.0825,Yolo
Brookdale,0.09,Santa Cruz
Brookhurst Center,0.0775,Orange
Brooks,0.0725,Yolo
Browns Valley,0.0825,Yuba
Brownsville,0.0825,Yuba
Bryn Mawr,0.0775,San Bernardino
Bryte (West Sacramento),0.0825,Yolo
Buellton,0.0775,Santa Barbara
Buena Park,0.0775,Orange
Burbank,0.1025,Los Angeles
Burlingame,0.095,San Mateo
Burney,0.0725,Shasta
Burnt Ranch,0.0725,Trinity
Burrel,0.07975,Fresno
Burson,0.0725,Calaveras
Butte City,0.0725,Glenn
Butte Meadows,0.0725,Butte
Buttonwillow,0.0725,Kern
Byron,0.0825,Contra Costa
Cabazon,0.0775,Riverside
Cabrillo,0.095,Los Angeles
Cadiz,0.0775,San Bernardino
Calabasas Highlands,0.095,Los Angeles
Calabasas Park,0.095,Los Angeles
Calabasas,0.095,Los Angeles
Calexico,0.0825,Imperial
Caliente,0.0725,Kern
California City,0.0725,Kern
California Hot Springs,0.0775,Tulare
California Valley,0.0725,San Luis Obispo
Calimesa,0.0775,Riverside
Calipatria,0.0775,Imperial
Calistoga,0.0775,Napa
Callahan,0.0725,Siskiyou
Calpella,0.07875,Mendocino
Calpine,0.0725,Sierra
Calwa,0.07975,Fresno
Camarillo,0.0725,Ventura
Cambria,0.0725,San Luis Obispo
Cambrian Park,0.09,Santa Clara
Cameron Park,0.0725,El Dorado
Camino,0.0725,El Dorado
Camp Beale,0.0825,Yuba
Camp Connell,0.0725,Calaveras
Camp Curry,0.0775,Mariposa
Camp Kaweah,0.0775,Tulare
Camp Meeker,0.0825,Sonoma
Camp Nelson,0.0775,Tulare
Camp Pendleton,0.0775,San Diego
Camp Roberts,0.0775,Monterey
Campbell,0.0925,Santa Clara
Campo,0.0775,San Diego
Campo Seco,0.0725,Calaveras
Camptonville,0.0825,Yuba
Canby,0.0725,Modoc
Canoga Annex,0.095,Los Angeles
Canoga Park (Los Angeles),0.095,Los Angeles
Cantil,0.0725,Kern
Cantua Creek,0.07975,Fresno
Canyon,0.0825,Contra Costa
Canyon Country (Santa Clarita),0.095,Los Angeles
Canyon Lake,0.0775,Riverside
Canyondam,0.0725,Plumas
Capay,0.0725,Yolo
Capistrano Beach (Dana Point),0.0775,Orange
Capitola,0.09,Santa Cruz
Cardiff By The Sea (Encinitas),0.0775,San Diego
Cardwell,0.07975,Fresno
Carlotta,0.0775,Humboldt
Carlsbad,0.0775,San Diego
Carmel Rancho,0.0775,Monterey
Carmel Valley,0.0775,Monterey
Carmel,0.0875,Monterey
Carmichael,0.0775,Sacramento
Carnelian Bay,0.0725,Placer
Carpinteria,0.09,Santa Barbara
Carson,0.095,Los Angeles
Cartago,0.0775,Inyo
Caruthers,0.07975,Fresno
Casitas Springs,0.0725,Ventura
Casmalia,0.0775,Santa Barbara
Caspar,0.07875,Mendocino
Cassel,0.0725,Shasta
Castaic,0.095,Los Angeles
Castella,0.0725,Shasta
Castle A.F.B.,0.0775,Merced
Castro Valley,0.0925,Alameda
Castroville,0.0775,Monterey
Cathedral City,0.0875,Riverside
Catheys Valley,0.0775,Mariposa
Cayucos,0.0725,San Luis Obispo
Cazadero,0.0825,Sonoma
Cecilville,0.0725,Siskiyou
Cedar,0.095,Los Angeles
Cedar Crest,0.07975,Fresno
Cedar Glen,0.0775,San Bernardino
Cedar Ridge,0.075,Nevada
Cedarpines Park,0.0775,San Bernardino
Cedarville,0.0725,Modoc
Central Valley,0.0725,Shasta
Century City (Los Angeles),0.095,Los Angeles
Ceres,0.08375,Stanislaus
Cerritos,0.095,Los Angeles
Challenge,0.0825,Yuba
Chambers Lodge,0.0725,Placer
Charter Oak,0.095,Los Angeles
Chatsworth (Los Angeles),0.095,Los Angeles
Cherry Valley,0.0775,Riverside
Chester,0.0725,Plumas
Chicago Park,0.075,Nevada
Chico,0.0725,Butte
Chilcoot,0.0725,Plumas
China Lake NWC (Ridgecrest),0.0825,Kern
Chinese Camp,0.0725,Tuolumne
Chino Hills,0.0775,San Bernardino
Chino,0.0775,San Bernardino
Chiriaco Summit,0.0775,Riverside
Cholame,0.0725,San Luis Obispo
Chowchilla,0.0875,Madera
Chualar,0.0775,Monterey
Chula Vista,0.0875,San Diego
Cima,0.0775,San Bernardino
Citrus Heights,0.0775,Sacramento
City of Commerce,0.1,Los Angeles
City of Industry,0.095,Los Angeles
City Terrace,0.095,Los Angeles
Claremont,0.095,Los Angeles
Clarksburg,0.0725,Yolo
Clayton,0.0825,Contra Costa
Clear Creek,0.0725,Siskiyou
Clearlake Highlands (Clearlake),0.0875,Lake
Clearlake Oaks,0.0725,Lake
Clearlake Park (Clearlake),0.0875,Lake
Clearlake,0.0875,Lake
Clements,0.0775,San Joaquin
Clinter,0.07975,Fresno
Clio,0.0725,Plumas
Clipper Mills,0.0725,Butte
Cloverdale,0.0825,Sonoma
Clovis,0.07975,Fresno
Coachella,0.0875,Riverside
Coalinga,0.08975,Fresno
Coarsegold,0.0775,Madera
Cobb,0.0725,Lake
Cohasset,0.0725,Butte
Cole,0.095,Los Angeles
Coleville,0.0725,Mono
Colfax,0.0725,Placer
College City,0.0725,Colusa
College Grove Center,0.0775,San Diego
Colma,0.0925,San Mateo
Coloma,0.0725,El Dorado
Colorado,0.0775,Mariposa
