year,city,county,rate,state
2022,Adelaida,San Luis Obispo,0.0725,CA
2022,Adin,Modoc,0.0725,CA
2022,Al Tahoe,El Dorado,0.0725,CA
2022,Alleghany,Sierra,0.0725,CA
2022,Almanor,Plumas,0.0725,CA
2022,Alta,Placer,0.0725,CA
2022,Altaville,Calaveras,0.0725,CA
2022,Alturas,Modoc,0.0725,CA
2022,Applegate,Placer,0.0725,CA
2022,Arbuckle,Colusa,0.0725,CA
2022,Armona,Kings,0.0725,CA
2022,Arnold,Calaveras,0.0725,CA
2022,Artois,Glenn,0.0725,CA
2022,Auburn,Placer,0.0725,CA
2022,Avenal,Kings,0.0725,CA
2022,Avery,Calaveras,0.0725,CA
2022,Avila Beach,San Luis Obispo,0.0725,CA
2022,Bangor,Butte,0.0725,CA
2022,Baxter,Placer,0.0725,CA
2022,Baywood Park,San Luis Obispo,0.0725,CA
2022,Bear Valley,Alpine,0.0725,CA
2022,Beckwourth,Plumas,0.0725,CA
2022,Belden,Plumas,0.0725,CA
2022,Bella Vista,Shasta,0.0725,CA
2022,Benton,Mono,0.0725,CA
2022,Berry Creek,Butte,0.0725,CA
2022,Bieber,Lassen,0.0725,CA
2022,Big Bar,Trinity,0.0725,CA
2022,Big Bend,Shasta,0.0725,CA
2022,Big Oak Flat,Tuolumne,0.0725,CA
2022,Biggs,Butte,0.0725,CA
2022,Bijou,El Dorado,0.0725,CA
2022,Blairsden,Plumas,0.0725,CA
2022,Bodfish,Kern,0.0725,CA
2022,Boron,Kern,0.0725,CA
2022,Bowman,Placer,0.0725,CA
2022,Bridgeport,Mono,0.0725,CA
2022,Brooks,Yolo,0.0725,CA
2022,Burney,Shasta,0.0725,CA
2022,Burnt Ranch,Trinity,0.0725,CA
2022,Burson,Calaveras,0.0725,CA
2022,Butte City,Glenn,0.0725,CA
2022,Butte Meadows,Butte,0.0725,CA
2022,Buttonwillow,Kern,0.0725,CA
2022,Caliente,Kern,0.0725,CA
2022,California City,Kern,0.0725,CA
2022,California Valley,San Luis Obispo,0.0725,CA
2022,Callahan,Siskiyou,0.0725,CA
2022,Calpine,Sierra,0.0725,CA
2022,Camarillo,Ventura,0.0725,CA
2022,Cambria,San Luis Obispo,0.0725,CA
2022,Cameron Park,El Dorado,0.0725,CA
2022,Camino,El Dorado,0.0725,CA
2022,Camp Connell,Calaveras,0.0725,CA
2022,Campo Seco,Calaveras,0.0725,CA
2022,Canby,Modoc,0.0725,CA
2022,Cantil,Kern,0.0725,CA
2022,Canyondam,Plumas,0.0725,CA
2022,Capay,Yolo,0.0725,CA
2022,Carnelian Bay,Placer,0.0725,CA
2022,Casitas Springs,Ventura,0.0725,CA
2022,Cassel,Shasta,0.0725,CA
2022,Castella,Shasta,0.0725,CA
2022,Cayucos,San Luis Obispo,0.0725,CA
2022,Cecilville,Siskiyou,0.0725,CA
2022,Cedarville,Modoc,0.0725,CA
2022,Central Valley,Shasta,0.0725,CA
2022,Chambers Lodge,Placer,0.0725,CA
2022,Chester,Plumas,0.0725,CA
2022,Chico,Butte,0.0725,CA
2022,Chilcoot,Plumas,0.0725,CA
2022,Chinese Camp,Tuolumne,0.0725,CA
2022,Cholame,San Luis Obispo,0.0725,CA
2022,Clarksburg,Yolo,0.0725,CA
2022,Clear Creek,Siskiyou,0.0725,CA
2022,Clearlake Oaks,Lake,0.0725,CA
2022,Clio,Plumas,0.0725,CA
2022,Clipper Mills,Butte,0.0725,CA
2022,Cobb,Lake,0.0725,CA
2022,Cohasset,Butte,0.0725,CA
2022,Coleville,Mono,0.0725,CA
2022,Colfax,Placer,0.0725,CA
2022,College City,Colusa,0.0725,CA
2022,Coloma,El Dorado,0.0725,CA
2022,Columbia,Tuolumne,0.0725,CA
2022,Colusa,Colusa,0.0725,CA
2022,Cool,El Dorado,0.0725,CA
2022,Copperopolis,Calaveras,0.0725,CA
2022,Cottonwood,Shasta,0.0725,CA
2022,Crescent Mills,Plumas,0.0725,CA
2022,Creston,San Luis Obispo,0.0725,CA
2022,Cromberg,Plumas,0.0725,CA
2022,Crowley Lake,Mono,0.0725,CA
2022,Dardanelle,Tuolumne,0.0725,CA
2022,Davis Creek,Modoc,0.0725,CA
2022,Deleven,Colusa,0.0725,CA
2022,Denny,Trinity,0.0725,CA
2022,Di Giorgio,Kern,0.0725,CA
2022,Diamond Springs,El Dorado,0.0725,CA
2022,Dorris,Siskiyou,0.0725,CA
2022,Douglas City,Trinity,0.0725,CA
2022,Douglas Flat,Calaveras,0.0725,CA
2022,Downieville,Sierra,0.0725,CA
2022,Doyle,Lassen,0.0725,CA
2022,Dunnigan,Yolo,0.0725,CA
2022,Durham,Butte,0.0725,CA
2022,Dutch Flat,Placer,0.0725,CA
2022,Eagleville,Modoc,0.0725,CA
2022,East Nicolaus,Sutter,0.0725,CA
2022,Echo Lake,El Dorado,0.0725,CA
2022,Edgewood,Siskiyou,0.0725,CA
2022,Edison,Kern,0.0725,CA
2022,Edwards,Kern,0.0725,CA
2022,Edwards A.F.B.,Kern,0.0725,CA
2022,El Dorado,El Dorado,0.0725,CA
2022,El Dorado Hills,El Dorado,0.0725,CA
2022,El Macero,Yolo,0.0725,CA
2022,Elk Creek,Glenn,0.0725,CA
2022,Emigrant Gap,Placer,0.0725,CA
2022,Enterprise,Shasta,0.0725,CA
2022,Esparto,Yolo,0.0725,CA
2022,Etna,Siskiyou,0.0725,CA
2022,Fall River Mills,Shasta,0.0725,CA
2022,Fallen Leaf,El Dorado,0.0725,CA
2022,Feather Falls,Butte,0.0725,CA
2022,Fellows,Kern,0.0725,CA
2022,Fillmore,Ventura,0.0725,CA
2022,Finley,Lake,0.0725,CA
2022,Flournoy,Tehama,0.0725,CA
2022,Forbestown,Butte,0.0725,CA
2022,Forest Glen,Trinity,0.0725,CA
2022,Forest Ranch,Butte,0.0725,CA
2022,Foresthill,Placer,0.0725,CA
2022,Forks of Salmon,Siskiyou,0.0725,CA
2022,Fort Bidwell,Modoc,0.0725,CA
2022,Fort Jones,Siskiyou,0.0725,CA
2022,Frazier Park,Kern,0.0725,CA
2022,French Gulch,Shasta,0.0725,CA
2022,Garden Valley,El Dorado,0.0725,CA
2022,Gazelle,Siskiyou,0.0725,CA
2022,Georgetown,El Dorado,0.0725,CA
2022,Gerber,Tehama,0.0725,CA
2022,Glenburn,Shasta,0.0725,CA
2022,Glencoe,Calaveras,0.0725,CA
2022,Glenhaven,Lake,0.0725,CA
2022,Glenn,Glenn,0.0725,CA
2022,Glennville,Kern,0.0725,CA
2022,Gold Run,Placer,0.0725,CA
2022,Golden Hills,Kern,0.0725,CA
2022,Goodyears Bar,Sierra,0.0725,CA
2022,Graeagle,Plumas,0.0725,CA
2022,Granite Bay,Placer,0.0725,CA
2022,Greenacres,Kern,0.0725,CA
2022,Greenview,Siskiyou,0.0725,CA
2022,Greenville,Plumas,0.0725,CA
2022,Greenwood,El Dorado,0.0725,CA
2022,Grenada,Siskiyou,0.0725,CA
2022,Gridley,Butte,0.0725,CA
2022,Grimes,Colusa,0.0725,CA
2022,Grizzly Flats,El Dorado,0.0725,CA
2022,Groveland,Tuolumne,0.0725,CA
2022,Guinda,Yolo,0.0725,CA
2022,Halcyon,San Luis Obispo,0.0725,CA
2022,Hamilton City,Glenn,0.0725,CA
2022,Hanford,Kings,0.0725,CA
2022,Happy Camp,Siskiyou,0.0725,CA
2022,Harmony,San Luis Obispo,0.0725,CA
2022,Hat Creek,Shasta,0.0725,CA
2022,Hathaway Pines,Calaveras,0.0725,CA
2022,Hayfork,Trinity,0.0725,CA
2022,Helena,Trinity,0.0725,CA
2022,Herlong,Lassen,0.0725,CA
2022,Hilt,Siskiyou,0.0725,CA
2022,Hobergs,Lake,0.0725,CA
2022,Homestead,Kern,0.0725,CA
2022,Homewood,Placer,0.0725,CA
2022,Hope Valley (Forest Camp),Alpine,0.0725,CA
2022,Hornbrook,Siskiyou,0.0725,CA
2022,Horse Creek,Siskiyou,0.0725,CA
2022,Horse Lake,Lassen,0.0725,CA
2022,Hyampom,Trinity,0.0725,CA
2022,Igo,Shasta,0.0725,CA
2022,Inyokern,Kern,0.0725,CA
2022,Iowa Hill,Placer,0.0725,CA
2022,Island Mountain,Trinity,0.0725,CA
2022,Jamestown,Tuolumne,0.0725,CA
2022,Janesville,Lassen,0.0725,CA
2022,Johannesburg,Kern,0.0725,CA
2022,Johnstonville,Lassen,0.0725,CA
2022,Junction City,Trinity,0.0725,CA
2022,June Lake,Mono,0.0725,CA
2022,Juniper,Lassen,0.0725,CA
2022,Keddie,Plumas,0.0725,CA
2022,Keene,Kern,0.0725,CA
2022,Kelsey,El Dorado,0.0725,CA
2022,Kelseyville,Lake,0.0725,CA
2022,Kernville,Kern,0.0725,CA
2022,Keswick,Shasta,0.0725,CA
2022,Kettleman City,Kings,0.0725,CA
2022,Kings Beach,Placer,0.0725,CA
2022,Kinyon,Siskiyou,0.0725,CA
2022,Kirkwood,Alpine,0.0725,CA
2022,Klamath River,Siskiyou,0.0725,CA
2022,Knights Landing,Yolo,0.0725,CA
2022,Kyburz,El Dorado,0.0725,CA
