year,city,county,rate,rate_change
2020,Acampo,San Joaquin,0.0775,
2021,Acampo,San Joaquin,0.0775,0
2022,Acampo,San Joaquin,0.0775,0
2020,Acton,Los Angeles,0.095,
2021,Acton,Los Angeles,0.095,0
2022,Acton,Los Angeles,0.095,0
2020,Adelaida,San Luis Obispo,0.0725,
2021,Adelaida,San Luis Obispo,0.0725,0
2022,Adelaida,San Luis Obispo,0.0725,0
2020,Adelanto,San Bernardino,0.0775,
2021,Adelanto,San Bernardino,0.0775,0
2022,Adelanto,San Bernardino,0.0775,0
2020,Adin,Modoc,0.0725,
2021,Adin,Modoc,0.0725,0
2022,Adin,Modoc,0.0725,0
2020,Agoura,Los Angeles,0.095,
2021,Agoura,Los Angeles,0.095,0
2022,Agoura,Los Angeles,0.095,0
2020,Agoura Hills,Los Angeles,0.095,
2021,Agoura Hills,Los Angeles,0.095,0
2022,Agoura Hills,Los Angeles,0.095,0
2020,Agua Caliente,Sonoma,0.0825,
2021,Agua Caliente,Sonoma,0.0825,0
2022,Agua Caliente,Sonoma,0.085,0.03030303
2020,Agua Caliente Springs,San Diego,0.0775,
2021,Agua Caliente Springs,San Diego,0.0775,0
2022,Agua Caliente Springs,San Diego,0.0775,0
2020,Agua Dulce,Los Angeles,0.095,
2021,Agua Dulce,Los Angeles,0.095,0
2022,Agua Dulce,Los Angeles,0.095,0
2020,Aguanga,Riverside,0.0775,
2021,Aguanga,Riverside,0.0775,0
2022,Aguanga,Riverside,0.0775,0
2020,Ahwahnee,Madera,0.0775,
2021,Ahwahnee,Madera,0.0775,0
2022,Ahwahnee,Madera,0.0775,0
2020,Al Tahoe,El Dorado,0.0725,
2021,Al Tahoe,El Dorado,0.0725,0
2022,Al Tahoe,El Dorado,0.0725,0
2020,Alameda,Alameda,0.0975,
2021,Alameda,Alameda,0.0975,0
2022,Alameda,Alameda,0.1075,0.102564103
2020,Alamo,Contra Costa,0.0825,
2021,Alamo,Contra Costa,0.0825,0
2022,Alamo,Contra Costa,0.0875,0.060606061
2020,Albany,Alameda,0.0975,
2021,Albany,Alameda,0.0975,0
2022,Albany,Alameda,0.1075,0.102564103
2020,Alberhill (Lake Elsinore),Riverside,0.0775,
2021,Alberhill (Lake Elsinore),Riverside,0.0775,0
2022,Alberhill (Lake Elsinore),Riverside,0.0775,0
2020,Albion,Mendocino,0.07875,
2021,Albion,Mendocino,0.07875,0
2022,Albion,Mendocino,0.07875,0
2020,Alderpoint,Humboldt,0.0775,
2021,Alderpoint,Humboldt,0.0775,0
2022,Alderpoint,Humboldt,0.0775,0
2020,Alhambra,Los Angeles,0.095,
2021,Alhambra,Los Angeles,0.1025,0.078947368
2022,Alhambra,Los Angeles,0.1025,0
2020,Aliso Viejo,Orange,0.0775,
2021,Aliso Viejo,Orange,0.0775,0
2022,Aliso Viejo,Orange,0.0775,0
2020,Alleghany,Sierra,0.0725,
2021,Alleghany,Sierra,0.0725,0
2022,Alleghany,Sierra,0.0725,0
2020,Almaden Valley,Santa Clara,0.09,
2021,Almaden Valley,Santa Clara,0.09,0
2022,Almaden Valley,Santa Clara,0.09125,0.013888889
2020,Almanor,Plumas,0.0725,
2021,Almanor,Plumas,0.0725,0
2022,Almanor,Plumas,0.0725,0
2020,Almondale,Los Angeles,0.095,
2021,Almondale,Los Angeles,0.095,0
2022,Almondale,Los Angeles,0.095,0
2020,Alondra,Los Angeles,0.095,
2021,Alondra,Los Angeles,0.095,0
2022,Alondra,Los Angeles,0.095,0
2020,Alpaugh,Tulare,0.0775,
2021,Alpaugh,Tulare,0.0775,0
2022,Alpaugh,Tulare,0.0775,0
2020,Alpine,San Diego,0.0775,
2021,Alpine,San Diego,0.0775,0
2022,Alpine,San Diego,0.0775,0
2020,Alta,Placer,0.0725,
2021,Alta,Placer,0.0725,0
2022,Alta,Placer,0.0725,0
2020,Alta Loma (Rancho Cucamonga),San Bernardino,0.0775,
2021,Alta Loma (Rancho Cucamonga),San Bernardino,0.0775,0
2022,Alta Loma (Rancho Cucamonga),San Bernardino,0.0775,0
2020,Altadena,Los Angeles,0.095,
2021,Altadena,Los Angeles,0.095,0
2022,Altadena,Los Angeles,0.095,0
2020,Altaville,Calaveras,0.0725,
2021,Altaville,Calaveras,0.0725,0
2022,Altaville,Calaveras,0.0725,0
2020,Alton,Humboldt,0.0775,
2021,Alton,Humboldt,0.0775,0
2022,Alton,Humboldt,0.0775,0
2020,Alturas,Modoc,0.0725,
2021,Alturas,Modoc,0.0725,0
2022,Alturas,Modoc,0.0725,0
2020,Alviso (San Jose),Santa Clara,0.0925,
2021,Alviso (San Jose),Santa Clara,0.0925,0
2022,Alviso (San Jose),Santa Clara,0.09375,0.013513514
2020,Amador City,Amador,0.0775,
2021,Amador City,Amador,0.0775,0
2022,Amador City,Amador,0.0775,0
2020,Amargosa (Death Valley),Inyo,0.0775,
2021,Amargosa (Death Valley),Inyo,0.0775,0
2022,Amargosa (Death Valley),Inyo,0.0775,0
2020,Amboy,San Bernardino,0.0775,
2021,Amboy,San Bernardino,0.0775,0
2022,Amboy,San Bernardino,0.0775,0
2020,American Canyon,Napa,0.0775,
2021,American Canyon,Napa,0.0775,0
2022,American Canyon,Napa,0.0775,0
2020,Anaheim,Orange,0.0775,
2021,Anaheim,Orange,0.0775,0
2022,Anaheim,Orange,0.0775,0
2020,Anderson,Shasta,0.0775,
2021,Anderson,Shasta,0.0775,0
2022,Anderson,Shasta,0.0775,0
2020,Angels Camp,Calaveras,0.0775,
2021,Angels Camp,Calaveras,0.0775,0
2022,Angels Camp,Calaveras,0.0775,0
2020,Angelus Oaks,San Bernardino,0.0775,
2021,Angelus Oaks,San Bernardino,0.0775,0
2022,Angelus Oaks,San Bernardino,0.0775,0
2020,Angwin,Napa,0.0775,
2021,Angwin,Napa,0.0775,0
2022,Angwin,Napa,0.0775,0
2020,Annapolis,Sonoma,0.0825,
2021,Annapolis,Sonoma,0.0825,0
2022,Annapolis,Sonoma,0.085,0.03030303
2020,Antelope,Sacramento,0.0775,
2021,Antelope,Sacramento,0.0775,0
2022,Antelope,Sacramento,0.0775,0
2020,Antelope Acres,Los Angeles,0.095,
2021,Antelope Acres,Los Angeles,0.095,0
2022,Antelope Acres,Los Angeles,0.095,0
2020,Antioch,Contra Costa,0.0925,
2021,Antioch,Contra Costa,0.0925,0
2022,Antioch,Contra Costa,0.0975,0.054054054
2020,Anza,Riverside,0.0775,
2021,Anza,Riverside,0.0775,0
2022,Anza,Riverside,0.0775,0
2020,Apple Valley,San Bernardino,0.0775,
2021,Apple Valley,San Bernardino,0.0775,0
2022,Apple Valley,San Bernardino,0.0775,0
2020,Applegate,Placer,0.0725,
2021,Applegate,Placer,0.0725,0
2022,Applegate,Placer,0.0725,0
2020,Aptos,Santa Cruz,0.09,
2021,Aptos,Santa Cruz,0.09,0
2022,Aptos,Santa Cruz,0.09,0
2020,Arbuckle,Colusa,0.0725,
2021,Arbuckle,Colusa,0.0725,0
2022,Arbuckle,Colusa,0.0725,0
2020,Arcadia,Los Angeles,0.1025,
2021,Arcadia,Los Angeles,0.1025,0
2022,Arcadia,Los Angeles,0.1025,0
2020,Arcata,Humboldt,0.085,
2021,Arcata,Humboldt,0.085,0
2022,Arcata,Humboldt,0.085,0
2020,Argus,San Bernardino,0.0775,
2021,Argus,San Bernardino,0.0775,0
2022,Argus,San Bernardino,0.0775,0
2020,Arleta (Los Angeles),Los Angeles,0.095,
2021,Arleta (Los Angeles),Los Angeles,0.095,0
2022,Arleta (Los Angeles),Los Angeles,0.095,0
2020,Arlington (Riverside),Riverside,0.0875,
2021,Arlington (Riverside),Riverside,0.0875,0
2022,Arlington (Riverside),Riverside,0.0875,0
2020,Armona,Kings,0.0725,
2021,Armona,Kings,0.0725,0
2022,Armona,Kings,0.0725,0
2020,Army Terminal,Alameda,0.0925,
2021,Army Terminal,Alameda,0.0925,0
2022,Army Terminal,Alameda,0.1025,0.108108108
2020,Arnold,Calaveras,0.0725,
2021,Arnold,Calaveras,0.0725,0
2022,Arnold,Calaveras,0.0725,0
2020,Aromas,Monterey,0.0775,
2021,Aromas,Monterey,0.0775,0
2022,Aromas,Monterey,0.0775,0
2021,Aromas,San Benito,0.0825,
2022,Aromas,San Benito,0.0825,0
2020,Arrowbear Lake,San Bernardino,0.0775,
2021,Arrowbear Lake,San Bernardino,0.0775,0
2022,Arrowbear Lake,San Bernardino,0.0775,0
2020,Arrowhead Highlands,San Bernardino,0.0775,
2021,Arrowhead Highlands,San Bernardino,0.0775,0
2022,Arrowhead Highlands,San Bernardino,0.0775,0
2020,Arroyo Grande,San Luis Obispo,0.0775,
2021,Arroyo Grande,San Luis Obispo,0.0775,0
2022,Arroyo Grande,San Luis Obispo,0.0775,0
2020,Artesia,Los Angeles,0.095,
2021,Artesia,Los Angeles,0.095,0
2022,Artesia,Los Angeles,0.095,0
2020,Artois,Glenn,0.0725,
